iter	Passed	Remaining
457	817	967
458	818	965
459	820	962
460	821	960
461	823	958
462	824	956
463	825	953
464	826	951
465	828	949
466	829	946
467	831	944
468	832	942
469	833	940
470	835	938
471	836	935
472	837	933
473	838	930
474	840	928
475	841	926
476	842	924
477	844	922
478	846	920
479	847	918
480	848	915
481	849	913
482	851	911
483	852	908
484	853	906
485	855	904
486	856	902
487	857	900
488	859	898
489	861	896
490	862	894
491	863	891
492	865	889
493	866	887
494	867	885
495	869	883
496	870	881
497	872	879
498	873	877
499	875	875
500	876	873
501	877	870
502	879	868
503	880	866
504	881	864
505	883	862
506	884	860
507	885	857
508	886	855
509	888	853
510	889	851
511	891	849
512	892	847
513	894	845
514	895	843
515	896	841
516	898	839
517	899	837
518	901	835
519	902	832
520	903	830
521	904	828
522	906	826
523	907	824
524	909	822
525	910	820
526	911	818
527	913	816
528	914	814
529	915	812
530	917	810
531	918	808
532	920	806
533	921	804
534	922	801
535	923	799
536	925	797
537	926	795
538	927	792
539	928	790
540	929	788
541	930	785
542	931	783
543	932	781
544	933	779
545	934	777
546	935	775
547	937	773
548	938	771
549	939	768
550	941	766
551	942	764
552	943	762
553	945	760
554	946	758
555	947	756
556	948	754
557	950	752
558	950	750
559	951	747
560	952	745
561	953	743
562	954	741
563	955	738
564	956	736
565	957	734
566	958	732
567	959	730
568	961	728
569	962	725
570	963	724
571	966	722
572	967	720
573	968	718
574	969	716
575	970	714
576	972	712
577	973	710
578	974	708
579	975	706
580	976	704
581	978	702
582	979	700
583	980	698
584	981	696
585	983	694
586	984	692
587	985	690
588	987	688
589	988	686
590	989	684
591	990	682
592	992	680
593	993	679
594	994	677
595	995	675
596	997	673
597	998	671
598	999	669
599	1000	667
600	1001	665
601	1002	663
602	1004	661
603	1005	659
604	1006	657
605	1008	655
606	1009	653
607	1010	651
608	1011	649
609	1012	647
610	1013	645
611	1015	643
612	1016	641
613	1017	639
614	1018	637
615	1019	635
616	1021	634
617	1022	632
618	1024	630
619	1025	628
620	1026	626
621	1027	624
622	1029	622
623	1030	621
624	1032	619
625	1033	617
626	1034	615
627	1036	613
628	1037	612
629	1038	610
630	1040	608
631	1041	606
632	1042	604
633	1043	602
634	1044	600
635	1045	598
636	1046	596
637	1047	594
638	1048	592
639	1049	590
640	1051	588
641	1053	587
642	1054	585
643	1055	583
644	1056	581
645	1057	579
646	1059	577
647	1060	575
648	1061	574
649	1062	572
650	1063	570
651	1065	568
652	1067	567
653	1068	565
654	1069	563
655	1070	561
656	1072	559
657	1073	557
658	1074	555
659	1075	554
660	1076	552
661	1078	550
662	1079	548
663	1081	547
664	1082	545
665	1083	543
666	1085	541
667	1086	540
668	1087	538
669	1089	536
670	1090	534
671	1092	533
672	1093	531
673	1094	529
674	1096	527
675	1097	526
676	1099	524
677	1100	522
678	1101	520
679	1103	519
680	1104	517
681	1106	515
682	1107	514
683	1109	512
684	1110	510
685	1112	509
686	1113	507
687	1115	505
688	1116	503
689	1117	502
690	1119	500
691	1120	498
692	1121	497
693	1123	495
694	1125	493
695	1126	492
696	1127	490
